Date,Open,High,Low,Close,Adj Close,Volume
9-28-1981,0.256696,0.258929,0.256696,0.256696,0.202842,22932000
9-29-1981,0.270089,0.272321,0.270089,0.270089,0.213425,23671200
9-30-1981,0.272321,0.274554,0.272321,0.272321,0.215189,12499200
10-1-1981,0.272321,0.274554,0.272321,0.272321,0.215189,15282400
10-2-1981,0.294643,0.296875,0.294643,0.294643,0.232827,11261600
10-5-1981,0.303571,0.308036,0.303571,0.303571,0.239882,10774400
10-6-1981,0.303571,0.303571,0.301339,0.301339,0.238119,7089600
10-7-1981,0.319196,0.323661,0.319196,0.319196,0.252229,9710400
10-8-1981,0.330357,0.332589,0.330357,0.330357,0.261048,7772800
10-9-1981,0.332589,0.337054,0.332589,0.332589,0.262812,13630400
10-12-1981,0.34375,0.345982,0.34375,0.34375,0.271632,6837600
10-13-1981,0.34375,0.348214,0.34375,0.34375,0.271632,11048800
10-14-1981,0.325893,0.325893,0.323661,0.323661,0.255757,7744800
10-15-1981,0.330357,0.332589,0.330357,0.330357,0.261048,7358400
10-16-1981,0.328125,0.328125,0.325893,0.325893,0.257521,9116800
10-19-1981,0.332589,0.334821,0.332589,0.332589,0.262812,5146400
10-20-1981,0.350446,0.352679,0.350446,0.350446,0.276923,8932000
10-21-1981,0.350446,0.352679,0.350446,0.350446,0.276923,19224800
10-22-1981,0.350446,0.350446,0.348214,0.348214,0.275159,8069600
10-23-1981,0.341518,0.341518,0.339286,0.339286,0.268104,6977600
10-26-1981,0.339286,0.341518,0.339286,0.339286,0.268104,6820800
10-27-1981,0.345982,0.350446,0.345982,0.345982,0.273395,21397600
10-28-1981,0.357143,0.359375,0.357143,0.357143,0.282215,11043200
10-29-1981,0.354911,0.354911,0.352679,0.352679,0.278687,7621600
10-30-1981,0.357143,0.359375,0.357143,0.357143,0.282215,13182400
11-2-1981,0.357143,0.359375,0.357143,0.357143,0.282215,9228800
11-3-1981,0.354911,0.354911,0.352679,0.352679,0.278687,7095200
11-4-1981,0.345982,0.345982,0.34375,0.34375,0.271632,5952800
11-5-1981,0.321429,0.321429,0.319196,0.319196,0.252229,5840800
11-6-1981,0.321429,0.323661,0.321429,0.321429,0.253993,6148800
11-9-1981,0.325893,0.328125,0.325893,0.325893,0.257521,5096000
11-10-1981,0.328125,0.330357,0.328125,0.328125,0.259285,4188800
11-11-1981,0.337054,0.339286,0.337054,0.337054,0.26634,6860000
11-12-1981,0.348214,0.350446,0.348214,0.348214,0.275159,9979200
11-13-1981,0.325893,0.325893,0.323661,0.323661,0.255757,5252800
11-16-1981,0.321429,0.321429,0.319196,0.319196,0.252229,5639200
11-17-1981,0.325893,0.328125,0.325893,0.325893,0.257521,8853600
11-18-1981,0.337054,0.339286,0.337054,0.337054,0.26634,7285600
11-19-1981,0.337054,0.339286,0.337054,0.337054,0.26634,10001600
11-20-1981,0.339286,0.341518,0.339286,0.339286,0.268104,9525600
11-23-1981,0.328125,0.328125,0.323661,0.323661,0.255757,5740000
11-24-1981,0.323661,0.323661,0.321429,0.321429,0.253993,5538400
11-25-1981,0.328125,0.330357,0.328125,0.328125,0.259285,13137600
11-27-1981,0.337054,0.339286,0.337054,0.337054,0.26634,9312800
11-30-1981,0.334821,0.334821,0.332589,0.332589,0.262812,5992000
12-1-1981,0.332589,0.334821,0.332589,0.332589,0.262812,5846400
12-2-1981,0.334821,0.337054,0.334821,0.334821,0.264576,9391200
12-3-1981,0.332589,0.332589,0.330357,0.330357,0.261048,5107200
12-4-1981,0.339286,0.341518,0.339286,0.339286,0.268104,34288800
12-7-1981,0.341518,0.34375,0.341518,0.341518,0.269868,14823200
12-8-1981,0.339286,0.339286,0.334821,0.334821,0.264576,12656000
12-9-1981,0.337054,0.339286,0.337054,0.337054,0.26634,8568000
12-10-1981,0.337054,0.339286,0.337054,0.337054,0.26634,9352000
12-11-1981,0.337054,0.339286,0.334821,0.334821,0.264576,19023200
12-14-1981,0.328125,0.328125,0.323661,0.323661,0.255757,6311200
12-15-1981,0.332589,0.334821,0.332589,0.332589,0.262812,7828800
12-16-1981,0.348214,0.350446,0.348214,0.348214,0.275159,16363200
12-17-1981,0.377232,0.379464,0.377232,0.377232,0.298089,12863200
12-18-1981,0.408482,0.410714,0.408482,0.408482,0.322783,17931200
12-21-1981,0.392857,0.392857,0.390625,0.390625,0.308672,14100800
12-22-1981,0.397321,0.399554,0.397321,0.397321,0.313964,13456800
12-23-1981,0.390625,0.390625,0.388393,0.388393,0.306908,7224000
12-24-1981,0.390625,0.392857,0.390625,0.390625,0.308672,7229600
12-28-1981,0.377232,0.377232,0.372768,0.372768,0.294561,9144800
12-29-1981,0.379464,0.383929,0.379464,0.379464,0.299853,6059200
12-30-1981,0.395089,0.397321,0.395089,0.395089,0.3122,8047200
12-31-1981,0.395089,0.397321,0.395089,0.395089,0.3122,13664000
